'Ka_mean = f(Inu)',
"'Given are: number of blocks, block length, turbulence intensity'",
"'Umean / Vcrit, <Ka>'",
,
1.1669,0.60072
1.1801,0.5714
1.1934,0.54262
1.2066,0.5145
1.2199,0.48709
1.2331,0.46042
1.2464,0.43452
1.2597,0.40941
1.2729,0.3851
1.2862,0.36162
1.2994,0.33899
1.3127,0.31723
1.326,0.29637
1.3392,0.27641
1.3525,0.25735
1.3657,0.23917
1.379,0.22186
1.3923,0.20536
1.4055,0.18963
1.4188,0.17462
1.432,0.16026
1.4453,0.14649
1.4586,0.13323
1.4718,0.12044
1.4851,0.10805
1.4983,0.096016
1.5116,0.084305
1.5249,0.072888
1.5381,0.061748
1.5514,0.050873
1.5646,0.040259
1.5779,0.029905
1.5912,0.01981
1.6044,0.0099746
1.6177,0.00039529
1.6309,-0.0089323
1.6442,-0.018015
1.6575,-0.026862
1.6707,-0.035484
1.684,-0.04389
1.6972,-0.052093
1.7105,-0.060101
1.7238,-0.067922
1.737,-0.075565
1.7503,-0.083034
1.7635,-0.090336
1.7768,-0.097473
1.7901,-0.10445
1.8033,-0.11127
1.8166,-0.11793
1.8298,-0.12444
1.8431,-0.1308
1.8564,-0.13702
1.8696,-0.14309
1.8829,-0.14903
1.8961,-0.15482
1.9094,-0.16049
1.9227,-0.16603
1.9359,-0.17144
1.9492,-0.17672
1.9624,-0.18188
1.9757,-0.18692
1.989,-0.19184
2.0022,-0.19663
2.0155,-0.20131
2.0287,-0.20585
2.042,-0.21027
2.0552,-0.21457
2.0685,-0.21873
2.0818,-0.22277
2.095,-0.22667
0.1,NaN
0.49061,-8.60E-06
0.50387,-2.66E-05
0.51713,-7.16E-05
0.53039,-0.00017001
0.54365,-0.00036284
0.55691,-0.00070604
0.57017,-0.0012684
0.58343,-0.0021271
0.59669,-0.0033616
0.60994,-0.005049
0.6232,-0.0072599
0.63646,-0.010058
0.64972,-0.013499
0.66298,-0.017635
0.67624,-0.022512
0.6895,-0.028172
0.70276,-0.03464
0.71602,-0.041913
0.72928,-0.049929
0.74254,-0.058531
0.7558,-0.067421
0.76906,-0.076126
0.78232,-0.083967
0.79558,-0.090069
0.80884,-0.093392
0.8221,-0.092817
0.83536,-0.087245
0.84862,-0.075725
0.86188,-0.05757
0.87514,-0.032456
0.8884,-0.00047631
0.90166,0.037847
0.91492,0.0816
0.92818,0.12955
0.94144,0.18024
0.9547,0.23213
0.96796,0.28367
0.98122,0.33341
0.99448,0.38011
1.0077,0.42272
1.021,0.46047
1.0343,0.49285
1.0475,0.51959
1.0608,0.54063
1.074,0.55611
1.0873,0.56628
1.1006,0.57153
1.1138,0.5723
1.1271,0.56908
1.1403,0.56237
1.1536,0.55266
1.1669,0.54043
1.1801,0.52612
1.1934,0.51015
1.2066,0.49286
1.2199,0.4746
1.2331,0.45563
1.2464,0.43621
1.2597,0.41654
1.2729,0.39679
1.2862,0.37711
1.2994,0.35761
1.3127,0.33838
1.326,0.3195
1.3392,0.30102
1.3525,0.28298
1.3657,0.26541
1.379,0.24832
